User ID,First Name,Last Name,Country,Phone,Email,SIN,Password
173,Lindsay,Aartsen,Albania,270-7858,laartsen@sfr.fr,685330524,v0}:aR*`a#F=M
1043,Bing,Aartsen,Belgium,908-5393,baartsen@hetnet.nl,136244980,rbF=3O;*'8'KO
4302,Ginni,Aartsen,Netherlands,270-5423,gaartsen@club-internet.fr,480209954,7BD_tfbn#TS.CdH
5594,Valli,Aartsen,Fiji,270-5790,vaartsen@frontiernet.net,762839524,Ek%qOm
5873,Myrah,Aartsen,Botswana,219-7887,maartsen@qq.com,315287008,KwH(~k{iG|0--
6613,Moria,Aartsen,Vanuatu,219-2927,maartsen@terra.com.br,546905827,p_psF=X<&t*k8Am
7326,Domenico,Aartsen,Luxembourg,997-9834,daartsen@live.com,491207097,&gkeBM
2591,Yorke,Abatelli,Laos,997-6247,yabatelli@sfr.fr,160738797,)_*"'%uu
3398,Melessa,Abatelli,Dominica,429-3617,mabatelli@tin.it,311557541,#yz{$m|gocw%
4063,Celie,Abatelli,Malta,925-7210,cabatelli@ig.com.br,291362883,;~y^le`PTJFo(*
4230,Lynsey,Abatelli,Benin,867-3416,labatelli@live.ca,632353737,YihM7|\)WWL?R
4340,Gussy,Abatelli,Qatar,444-4638,gabatelli@yahoo.com,609533950,B:)#XMqpYIf
4890,Peggi,Abatelli,Saint Kitts and Nevis,429-7640,pabatelli@yahoo.com.ar,964239955,8FU:E"3k_
5154,Northrup,Abatelli,Holy See,270-7029,nabatelli@yahoo.ca,230159247,4y:T~i'!
6252,Barbey,Abatelli,Sudan,398-8667,babatelli@facebook.com,529158655,$gIpT:
7953,Arch,Abatelli,Panama,997-7647,aabatelli@yahoo.com.mx,182890120,39%B@H#7
9607,Tasia,Abatelli,Albania,997-6095,tabatelli@centurytel.net,530481965,K^b9{t%+0H
1758,Red,Abbs,Thailand,867-1501,rabbs@yahoo.com.ar,986237151,vNXIq/hS
2839,Mandie,Abbs,Tanzania,444-8422,mabbs@mac.com,107163186,;\o~N.}G8lV\nzp
